anio,mes,mes_num,estado,tipo_delito,subtipo_delito,modalidad,cantidad,fecha,periodo
2023,Enero,1,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,19,2023-01,Enero 2023
2023,Febrero,2,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,12,2023-02,Febrero 2023
2023,Marzo,3,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,11,2023-03,Marzo 2023
2023,Abril,4,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,23,2023-04,Abril 2023
2023,Mayo,5,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,15,2023-05,Mayo 2023
2023,Junio,6,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,25,2023-06,Junio 2023
2023,Julio,7,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,12,2023-07,Julio 2023
2023,Agosto,8,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,26,2023-08,Agosto 2023
2023,Septiembre,9,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,6,2023-09,Septiembre 2023
2023,Octubre,10,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,16,2023-10,Octubre 2023
2023,Noviembre,11,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,6,2023-11,Noviembre 2023
2023,Diciembre,12,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,5,2023-12,Diciembre 2023
2024,Enero,1,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,26,2024-01,Enero 2024
2024,Febrero,2,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,21,2024-02,Febrero 2024
2024,Marzo,3,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,14,2024-03,Marzo 2024
2024,Abril,4,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,19,2024-04,Abril 2024
2024,Mayo,5,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,16,2024-05,Mayo 2024
2024,Junio,6,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,24,2024-06,Junio 2024
2024,Julio,7,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,29,2024-07,Julio 2024
2024,Agosto,8,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,9,2024-08,Agosto 2024
2024,Septiembre,9,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,11,2024-09,Septiembre 2024
2024,Octubre,10,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,13,2024-10,Octubre 2024
2024,Noviembre,11,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,8,2024-11,Noviembre 2024
2024,Diciembre,12,Baja California,Homicidio doloso,Homicidio doloso,Con violencia,18,2024-12,Diciembre 2024
2023,Enero,1,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,25,2023-01,Enero 2023
2023,Febrero,2,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,24,2023-02,Febrero 2023
2023,Marzo,3,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,19,2023-03,Marzo 2023
2023,Abril,4,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,19,2023-04,Abril 2023
2023,Mayo,5,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,18,2023-05,Mayo 2023
2023,Junio,6,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,8,2023-06,Junio 2023
2023,Julio,7,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,12,2023-07,Julio 2023
2023,Agosto,8,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,6,2023-08,Agosto 2023
2023,Septiembre,9,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,26,2023-09,Septiembre 2023
2023,Octubre,10,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,8,2023-10,Octubre 2023
2023,Noviembre,11,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,22,2023-11,Noviembre 2023
2023,Diciembre,12,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,6,2023-12,Diciembre 2023
2024,Enero,1,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,20,2024-01,Enero 2024
2024,Febrero,2,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,12,2024-02,Febrero 2024
2024,Marzo,3,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,25,2024-03,Marzo 2024
2024,Abril,4,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,19,2024-04,Abril 2024
2024,Mayo,5,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,28,2024-05,Mayo 2024
2024,Junio,6,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,17,2024-06,Junio 2024
2024,Julio,7,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,19,2024-07,Julio 2024
2024,Agosto,8,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,5,2024-08,Agosto 2024
2024,Septiembre,9,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,11,2024-09,Septiembre 2024
2024,Octubre,10,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,28,2024-10,Octubre 2024
2024,Noviembre,11,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,16,2024-11,Noviembre 2024
2024,Diciembre,12,Baja California,Homicidio doloso,Homicidio doloso,Sin violencia,28,2024-12,Diciembre 2024
2023,Enero,1,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,12,2023-01,Enero 2023
2023,Febrero,2,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,9,2023-02,Febrero 2023
2023,Marzo,3,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,11,2023-03,Marzo 2023
2023,Abril,4,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,16,2023-04,Abril 2023
2023,Mayo,5,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,20,2023-05,Mayo 2023
2023,Junio,6,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,28,2023-06,Junio 2023
2023,Julio,7,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,7,2023-07,Julio 2023
2023,Agosto,8,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,26,2023-08,Agosto 2023
2023,Septiembre,9,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,5,2023-09,Septiembre 2023
2023,Octubre,10,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,19,2023-10,Octubre 2023
